Compound;CNS positivity; MW (g/mol);Freely Rotable Bonds (ACD);PSA (ACD);HBD (ACD);HBA (ACD);logP (ACD);logD (pH7.4) (ACD);HPLC logP-HBA (ACD);HBA+HBD (ACD);logP-HBA (ACD);logD (pH 7.4)-HBA (ACD);HPLC logP(pH 7.4) ;IAM Km (linear);IAM Pm (linear);HSA;LogK;tPSA;logP;ClogP;pKa (prediction);3D PSA;CNS MPO score;BBB score;CNS MPO PET score
mHED;negative;181.23;3;52.5;3;3;0.32;-1.79;-5.1;6;-2.68;-4.79;-2.1;10.41;0.05;36.59;-0.25;52.49;0.99;0.22;9.74;104.1;4.38;3.84;4
Sotalol;negative;272.36;6;87;3;5;0.32;-1.63;-6.93;8;-4.68;-6.63;-1.93;11.33;0.04;29.58;-0.38;78.43;-0.06;0.23;9.64;153.1;4.43;3.76;3.3
Nicardipine;efflux;479.53;11;114;1;9;5.13;4.55;-4.83;10;-3.87;-4.45;4.17;275.55;0.57;84.31;0.7;119.7;1.81;5.23;4.33;151;3.48;3.63;2
Rhodamine123;efflux;345.37;3;87;3;5;1.21;1.71;-2.89;8;-3.79;-3.29;2.11;219.85;0.64;85.44;0.74;87.1;;1.51;0.73;171;4.59;3.58;3
Colchicine;efflux;399.43;5;83;1;7;0.92;1.1;;8;-6.08;-5.9;;;;;;86.6;0.95;1.9;0.8;112;5.47;3.53;4
Fexofenadine;efflux;501.66;10;81;3;5;4.8;2.43;-3.01;8;-0.2;-2.57;1.99;22.23;0.04;57.32;0.12;81;6.03;1.96;4.07;157;3.18;3.45;1.6
Tolcapone;negative;273.24;3;103;2;6;4.07;1.22;;8;-1.93;-4.78;;;;;;103.45;2.21;3.25;5.59;211;5;3.41;3
Domperidon;negative;425.91;5;79;2;7;4.63;0.76;-3.8;9;-2.37;-6.24;3.2;148;0.35;84.57;0.71;74.9;3.64;4.8;12.72;137.9;3.65;3.4;1.5
Erlotinib;efflux;393.44;11;75;1;7;2.39;3.04;-3.78;8;-4.61;-3.96;3.22;64.47;0.16;79.22;0.56;73.7;3.3;3.2;-0.63;82;4.81;3.35;3.5
Laniquidar;efflux;584.7;8;69;0;7;8.13;5.64;;7;1.13;-1.36;;;;;;69.5;5.98;6.13;3.17;72;2.95;3.19;2.7
Metaraminol;negative;167.2;2;66;4;3;0.07;-2.07;;7;-2.93;-5.07;;;;;;66.48;0.47;-0.08;9;141.4;4.5;3.17;4.1
Hoechst33342;efflux;452.55;5;73;2;7;4.63;3.35;-3.71;9;-2.37;-3.65;3.29;511.97;1.13;94.5;1.16;64.5;3.95;6.04;11.27;92;2.92;3.17;0.9
Nadolol;negative;309.4;6;82;4;5;1.29;-0.86;-6.07;9;-3.71;-5.86;-1.07;14.15;0.05;29.49;-0.38;81.95;0.99;0.38;9.36;139.5;4.32;3.15;3.1
Nelfinavir;efflux;567.78;10;127;4;7;8.6;3.86;-3.15;11;1.6;-3.14;3.85;665.34;1.17;90.92;0.96;101.9;4.62;3.77;15.16;127;1.62;3.14;0
Dexamethason;efflux;392.46;2;95;3;5;1.87;1.92;-2.9;8;-3.13;-3.08;2.1;26.75;0.07;59.58;0.16;94.8;0.72;0.13;14.09;154;4.86;3.03;1.8
Hydrocortisone;efflux;362.46;2;95;3;5;1.43;1.66;-3.4;8;-3.57;-3.34;1.6;17.24;0.05;48.98;-0.03;94.8;0.5;-0.86;13.87;181;5.07;3;2
Cimetidine;efflux;252.12;8;114;3;6;0.07;0.37;-6.63;9;-5.93;-5.63;-0.63;8.57;0.03;23.65;-0.38;88.89;0.93;0.19;-1.09;144;5.25;2.91;3
Clindamycin;negative;424.98;7;128;4;7;1.83;1.08;;11;-5.17;-5.92;;;;;;99.02;2.32;3.61;7.55;109.5;4.04;2.81;2.8
Mesna(CoenzymeM);negative;142.19;2;67;1;3;-1.2;-4.83;;4;-4.2;-7.83;;;;;;57.2;;-4.29;-1.16;124.8;5.75;2.79;6
