Compound;CNS positivity; MW (g/mol);Freely Rotable Bonds (ACD);PSA (ACD);HBD (ACD);HBA (ACD);logP (ACD);logD (pH7.4) (ACD);HPLC logP-HBA (ACD);HBA+HBD (ACD);logP-HBA (ACD);logD (pH 7.4)-HBA (ACD);HPLC logP(pH 7.4) ;IAM Km (linear);IAM Pm (linear);HSA;LogK;tPSA;logP;ClogP;pKa (prediction);3D PSA;CNS MPO score;BBB score;CNS MPO PET score
PE2i;positive;425.3;5;30;0;3;4.9;3.81;1.55;3;1.9;0.81;4.55;228.01;0.54;73.4;0.43;29.54;4.71;4.87;9.27;31.9;3.49;4.94;1.1
Harmin;positive;212.25;1;38;1;3;3.17;1.61;-0.02;4;0.17;-1.39;2.98;82;0.39;79.45;0.57;33.62;1.87;3.13;6.15;56.5;5.65;4.93;4.8
CPFPX;positive;321.38;6;69;1;6;0.03;2.8;-3.17;7;-5.97;-3.2;2.83;39.74;0.12;73.17;0.42;65.01;2.16;3.19;2.62;84.9;5.75;4.92;4.6
beta-CIT-FP;positive;431.28;6;30;0;3;4.06;2.13;1.44;3;1.06;-0.87;4.44;143.89;0.34;72.06;0.4;29.54;3.99;4.42;9.72;31.1;3.76;4.91;1.6
CITFP;positive;431.28;6;30;0;3;4.06;2.13;1.44;3;1.06;-0.87;4.44;145.43;0.35;72.06;0.4;29.54;3.99;4.42;;;3.76;4.91;
Fallypride;positive;364.45;10;51;1;5;2.12;0.94;-2.01;6;-2.88;-4.06;2.99;71.61;0.2;64.18;0.24;50.8;2.74;3.18;-0.16;46.8;5.46;4.9;5
N-ButylScopalamine;negative;360.47;8;59;1;5;-1.99;-1.66;-5.3;6;-6.99;-6.66;-0.3;24.05;0.07;41.25;-0.16;59.06;;-0.89;15.15;117.3;5.75;4.88;4
Loratadine;negative;382.88;2;42;0;4;5.94;5.32;-0.38;4;1.94;1.32;3.62;191.65;0.5;87.72;0.82;41.9;4.13;5.05;4.33;42.7;4.06;4.88;2.8
FE-PE2i;positive;457.3;7;30;0;4;4.52;;;4;0.52;;;;;;;29.54;4.9;5.12;9.21;31.4;3.06;4.86;
FE-Carfentanil;positive;394.51;8;50;0;5;3.73;3.21;-1.71;5;-1.27;-1.79;3.29;141.25;0.29;70.95;0.37;49.85;3.2;3.73;7.75;32.9;4.41;4.85;3
Cetirizin;negative;388.89;8;53;1;5;2.16;-0.55;-2.92;6;-2.84;-5.55;2.08;11.74;0.03;73.97;0.44;53.01;3.11;2.08;3.01;89.1;5.54;4.84;5
IPCIT;positive;537.17;4;30;0;3;5.47;1.71;;3;2.47;-1.29;;;;;;29.54;5.58;5.49;9.16;30.2;2.54;4.84;2.1
Me@IPICIT;positive;537.17;5;30;0;3;5.47;4.41;;3;2.47;1.41;;;;;;29.54;5.58;5.49;9.16;30.2;2.54;4.84;1.1
GR89696;positive;414.33;5;53;0;6;3.69;2.27;-2.98;6;-2.31;-3.73;3.02;116.48;0.22;72.38;0.4;53.09;2.38;4.17;8.63;50.3;5.29;4.82;3.2
Ro11-2933/Acetanilide;efflux;481.71;10;72;0;3;6.85;4.75;-2.93;3;3.85;1.75;0.07;9.12;0.02;12.37;-0.86;21.7;6.84;6.12;14.38;19;1.41;4.82;1
Flutemetamol;positive;274.31;2;73;2;3;3.5;3.27;;5;0.5;0.27;;;;;;45.15;3.57;4.3;2.89;89.8;4.55;4.81;3.4
Quinacrine;efflux;399.96;9;37;1;4;4.85;1.96;-0.11;5;0.85;-2.04;3.89;155.63;0.39;94.02;1.13;36.9;5.02;6.72;10.93;43;3.33;4.8;2.2
PK11195;positive;352.86;4;42;1;3;4.8;4.74;0.25;4;1.8;1.74;3.25;123.33;0.35;79.55;0.57;32.67;5.3;4.62;0.8;19.9;3.66;4.8;2
Ondansetron;efflux;293.36;2;40;0;4;2.07;2.43;-1.91;4;-1.93;-1.57;2.09;35.6;0.12;77.49;0.52;35.9;1.7;2.72;7.34;53;5.94;4.78;3.6
Asimadoline;efflux;414.54;7;44;1;4;3.71;3.68;-0.88;5;-0.29;-0.32;3.12;163.56;0.39;82.27;0.64;43.77;4.15;3.87;3.05;60;4.18;4.78;3.2
Phenylbutazone;negative;308.37;5;41;0;4;3.16;0.59;-3.18;4;-0.84;-3.41;0.82;6.65;0.02;83.94;0.7;40.62;4.15;3.39;-1;55.4;5.33;4.77;5.3
FE-IPCIT;positive;569.19;4;30;0;3;5.71;1.71;;3;2.71;-1.29;;;;;;29.54;5.77;5.74;9.1;31;2.34;4.77;2.2
6-OH-BTA-1(PiB);positive;256.32;2;73;2;3;3.33;3.19;0.94;5;0.33;0.19;3.94;199.8;0.78;84.32;0.7;45.15;3.41;3.7;1.82;93.5;4.7;4.76;3.6
